"rawname","cleanname"
"tBodyAcc-mean()-X","mean.BodyAccel.Xaxis.OverTime"
"tBodyAcc-mean()-Y","mean.BodyAccel.Yaxis.OverTime"
"tBodyAcc-mean()-Z","mean.BodyAccel.Zaxis.OverTime"
"tBodyAcc-std()-X","stddev.BodyAccel.XAxis.OverTime"
"tBodyAcc-std()-Y","stddev.BodyAccel.YAxis.OverTime"
"tBodyAcc-std()-Z","stddev.BodyAccel.ZAxis.OverTime"
"tGravityAcc-mean()-X","mean.GravAccel.XAxis.OverTime"
"tGravityAcc-mean()-Y","mean.GravAccel.YAxis.OverTime"
"tGravityAcc-mean()-Z","mean.GravAccel.ZAxis.OverTime"
"tGravityAcc-std()-X","stddev.GravAccel.XAxis.OverTime"
"tGravityAcc-std()-Y","stddev.GravAccel.YAxis.OverTime"
"tGravityAcc-std()-Z","stddev.GravAccel.ZAxis.OverTime"
"tBodyAccJerk-mean()-X","mean.BodyAccelJerk.XAxis.OverTime"
"tBodyAccJerk-mean()-Y","mean.BodyAccelJerk.YAxis.OverTime"
"tBodyAccJerk-mean()-Z","mean.BodyAccelJerk.ZAxis.OverTime"
"tBodyAccJerk-std()-X","stddev.BodyAccelJerk.XAxis.OverTime"
"tBodyAccJerk-std()-Y","stddev.BodyAccelJerk.YAxis.OverTime"
"tBodyAccJerk-std()-Z","stddev.BodyAccelJerk.ZAxis.OverTime"
"tBodyGyro-mean()-X","mean.BodyGyro.XAxis.OverTime"
"tBodyGyro-mean()-Y","mean.BodyGyro.YAxis.OverTime"
"tBodyGyro-mean()-Z","mean.BodyGyro.ZAxis.OverTime"
"tBodyGyro-std()-X","stddev.BodyGyro.XAxis.OverTime"
"tBodyGyro-std()-Y","stddev.BodyGyro.YAxis.OverTime"
"tBodyGyro-std()-Z","stddev.BodyGyro.ZAxis.OverTime"
"tBodyGyroJerk-mean()-X","mean.BodyGyroJerk.XAxis.OverTime"
"tBodyGyroJerk-mean()-Y","mean.BodyGyroJerk.YAxis.OverTime"
"tBodyGyroJerk-mean()-Z","mean.BodyGyroJerk.ZAxis.OverTime"
"tBodyGyroJerk-std()-X","stddev.BodyGyroJerk.XAxis.OverTime"
"tBodyGyroJerk-std()-Y","stddev.BodyGyroJerk.YAxis.OverTime"
"tBodyGyroJerk-std()-Z","stddev.BodyGyroJerk.ZAxis.OverTime"
"tBodyAccMag-mean()","mean.BodyAccel.Magnitude.OverTime"
"tBodyAccMag-std()","stddev.BodyAccel.Magnitude.OverTime"
"tGravityAccMag-mean()","mean.GravAccel.Magnitude.OverTime"
"tGravityAccMag-std()","stddev.GravAcces.Magnitude.OverTime"
"tBodyAccJerkMag-mean()","mean.BodyAccelJerk.Magnitude.OverTime"
"tBodyAccJerkMag-std()","stddev.BodyAccelJerk.Magnitude.OverTime"
"tBodyGyroMag-mean()","mean.BodyGyro.Magnitude.OverTime"
"tBodyGyroMag-std()","stddev.BodyGyro.Magnitude.OverTime"
"tBodyGyroJerkMag-mean()","mean.BodyGyroJerk.Magnitude.OverTime"
"tBodyGyroJerkMag-std()","stddev.BodyGyroJerk.Magnitude.OverTime"
"fBodyAcc-mean()-X","mean.BodyAccel.Xaxis.OverFreq"
"fBodyAcc-mean()-Y","mean.BodyAccel.Yaxis.OverFreq"
"fBodyAcc-mean()-Z","mean.BodyAccel.Zaxis.OverFreq"
"fBodyAcc-std()-X","stddev.BodyAccel.Xaxis.OverFreq"
"fBodyAcc-std()-Y","stddev.BodyAccel.Yaxis.OverFreq"
"fBodyAcc-std()-Z","stddev.BodyAccel.Zaxis.OverFreq"
"fBodyAcc-meanFreq()-X","meanFreq.BodyAccel.Xaxis.OverFreq"
"fBodyAcc-meanFreq()-Y","meanFreq.BodyAccel.Yaxis.OverFreq"
"fBodyAcc-meanFreq()-Z","meanFreq.BodyAccel.Zaxis.OverFreq"
"fBodyAccJerk-mean()-X","mean.BodyAccelJerk.Xaxis.OverFreq"
